Symbol,Sector,Sub-Industry,Headquarter,Founded
ON,Information Technology,Semiconductors,"Phoenix, Arizona",1999
OKE,Energy,Oil & Gas Storage & Transportation,"Tulsa, Oklahoma",1906
ORCL,Information Technology,Application Software,"Austin, Texas",1977
OGN,Health Care,Pharmaceuticals,"Jersey City, New Jersey",2021
OTIS,Industrials,Industrial Machinery & Supplies & Components,"Farmington, Connecticut",2020
PCAR,Industrials,Construction Machinery & Heavy Transportation Equipment,"Bellevue, Washington",1905
PKG,Materials,Paper & Plastic Packaging Products & Materials,"Lake Forest, Illinois",1959
PANW,Information Technology,Application Software,"Santa Clara, California",2005
PARA,Communication Services,Movies & Entertainment,"New York City, New York",2019
PH,Industrials,Industrial Machinery & Supplies & Components,"Cleveland, Ohio",1917
PAYX,Industrials,Human Resource & Employment Services,"Penfield, New York",1971
PAYC,Information Technology,Application Software,"Oklahoma City, Oklahoma",1998
PYPL,Financials,Transaction & Payment Processing Services,"San Jose, California",1998
PNR,Industrials,Industrial Machinery & Supplies & Components,"Worsley, United Kingdom",1966
PEP,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,"Purchase, New York",1898
PFE,Health Care,Pharmaceuticals,"New York City, New York",1849
PCG,Utilities,Multi-Utilities,"San Francisco, California",1905
PM,Consumer Staples,Tobacco,"New York City, New York",2008
PSX,Energy,Oil & Gas Refining & Marketing,"Houston, Texas",2012
PNW,Utilities,Multi-Utilities,"Phoenix, Arizona",1985
PXD,Energy,Oil & Gas Exploration & Production,"Irving, Texas",1997
PNC,Financials,Regional Banks,"Pittsburgh, Pennsylvania",1845
POOL,Consumer Discretionary,Distributors,"Covington, Louisiana",1993
PPG,Materials,Specialty Chemicals,"Pittsburgh, Pennsylvania",1883
PPL,Utilities,Electric Utilities,"Allentown, Pennsylvania",1920
PFG,Financials,Life & Health Insurance,"Des Moines, Iowa",1879
PG,Consumer Staples,Personal Care Products,"Cincinnati, Ohio",1837
PGR,Financials,Property & Casualty Insurance,"Mayfield Village, Ohio",1937
PLD,Real Estate,Industrial REITs,"San Francisco, California",1983
